example_id                                              | status | run_time        |
------------------------------------------------------- | ------ | --------------- |
./spec/controllers/sessions_controller_spec.rb[1:1:1]   | passed | 0.00534 seconds |
./spec/controllers/sessions_controller_spec.rb[1:2:1:1] | passed | 0.01005 seconds |
./spec/controllers/sessions_controller_spec.rb[1:2:2:1] | passed | 0.01042 seconds |
./spec/controllers/sessions_controller_spec.rb[1:3:1]   | passed | 0.14014 seconds |
./spec/controllers/tasks_controller_spec.rb[1:1:1]      | passed | 0.00976 seconds |
./spec/controllers/tasks_controller_spec.rb[1:2:1]      | passed | 0.03926 seconds |
./spec/controllers/tasks_controller_spec.rb[1:3:1:1]    | passed | 0.01881 seconds |
./spec/controllers/tasks_controller_spec.rb[1:3:2:1]    | passed | 0.01508 seconds |
./spec/controllers/tasks_controller_spec.rb[1:4:1]      | passed | 0.02205 seconds |
./spec/controllers/tasks_controller_spec.rb[1:4:2]      | passed | 0.0195 seconds  |
./spec/controllers/tasks_controller_spec.rb[1:5:1]      | passed | 0.01991 seconds |
./spec/controllers/tasks_controller_spec.rb[1:5:2]      | passed | 0.02285 seconds |
./spec/controllers/tasks_controller_spec.rb[1:5:3]      | passed | 0.04038 seconds |
./spec/controllers/tasks_controller_spec.rb[1:6:1]      | passed | 0.04896 seconds |
./spec/controllers/tasks_controller_spec.rb[1:7:1]      | passed | 0.01829 seconds |
./spec/controllers/users_controller_spec.rb[1:1:1]      | passed | 0.00313 seconds |
./spec/controllers/users_controller_spec.rb[1:2:1:1]    | passed | 0.01037 seconds |
./spec/controllers/users_controller_spec.rb[1:2:2:1]    | passed | 0.00979 seconds |
